Prompt,Case,Specialisation,Fidelity,Restructuring,Clarity,TotalScore,Hallucination
P1,P1 – Neurology,Neurology,0.2,1.1,0.5,1.8,1
P1,P1 – Pneumology,Pneumology,0.7,1.3,1.0,3.0,1
P2,P2 – Digestive,Digestive,1.1,1.3,1.3,3.7,0
P2,P2 – Pneumology,Pneumology,1.6,1.7,1.6,4.9,1
P3,P3 – Neurology,Neurology,0.5,1.3,0.7,2.5,1
P3,P3 – Emergencies,Emergencies,0.2,0.3,0.2,0.7,1
P4,P4 – Cardiology,Cardiology,2.0,1.0,2.0,5.0,0
P4,P4 – Digestive,Digestive,2.0,0.0,1.0,3.0,0
P5,P5 – Cardiology,Cardiology,2.0,2.0,2.0,6.0,0
P5,P5 – Digestive,Digestive,1.5,1.5,1.5,4.5,0
P6,P6 – Traumatology,Traumatology,2.0,1.0,2.0,5.0,0
P6,P6 – Nephrology,Nephrology,0.0,1.0,1.0,2.0,1
